seats,kms_driven,mileage,engine,max_power,torque,price,registration_tratada_antes_2010,registration_tratada_depois 2020,fuel_type_Diesel,fuel_type_Petrol,ownsership_tratado_First Owner,ownsership_tratado_None,ownsership_tratado_Second Owner,ownsership_tratado_Third Owner,transmission_tratado_Manual,transmission_tratado_None
5,32321,16.55,1995.0,1995.0,1877.0,49.9,False,True,True,False,True,False,False,False,False,False
5,55485,19.4,1198.0,1198.0,868.0,3.35,False,False,False,True,True,False,False,False,True,False
6,20000,1451.0,141.0,141.0,250.0,17.5,False,True,False,True,False,True,False,False,False,True
5,54000,15.8,1997.0,1997.0,247.0,59.75,False,False,False,True,False,False,True,False,False,False
5,49404,21.4,1197.0,1197.0,831.0,5.44,False,False,False,True,True,False,False,False,True,False
5,32000,1995.0,188.0,188.0,400.0,18.2,False,False,True,False,False,True,False,False,False,True
7,100000,10.91,3198.0,3198.0,197.0,22.5,False,False,True,False,True,False,False,False,False,False
5,32000,1995.0,188.0,188.0,400.0,18.2,False,False,True,False,False,True,False,False,False,True
5,32000,1995.0,188.0,188.0,400.0,18.2,False,False,True,False,False,True,False,False,False,True
5,32000,1995.0,188.0,188.0,400.0,18.2,False,False,True,False,False,True,False,False,False,True
7,8000,1997.0,200.0,200.0,380.0,24.0,False,True,False,True,True,False,False,False,False,False
5,33841,998.0,671.0,671.0,90.0,3.17,False,False,False,True,True,False,False,False,True,False
5,32000,1995.0,188.0,188.0,400.0,18.2,False,False,True,False,False,True,False,False,False,True
5,9246,19.4,999.0,999.0,11398.0,15.62,False,True,False,True,True,False,False,False,True,False
7,42000,10.75,2694.0,2694.0,1637.0,17.9,False,False,False,True,True,False,False,False,False,False
5,32000,1995.0,188.0,188.0,400.0,18.2,False,False,True,False,False,True,False,False,False,True
5,42462,27.28,1047.0,1047.0,69.0,4.3,False,False,True,False,True,False,False,False,True,False
5,32000,1995.0,188.0,188.0,400.0,18.2,False,False,True,False,False,True,False,False,False,True
7,30000,12.05,2157.0,2157.0,17849.0,24.75,False,True,True,False,True,False,False,False,False,False
5,96660,18.5,1197.0,1197.0,8285.0,2.47,False,False,False,True,True,False,False,False,True,False
5,32000,1995.0,188.0,188.0,400.0,18.2,False,False,True,False,False,True,False,False,False,True
5,38963,18.9,1197.0,1197.0,82.0,4.13,False,False,False,True,True,False,False,False,True,False
5,70000,18.5,1197.0,1197.0,805200.0,1.6,False,False,False,True,False,False,True,False,True,False
5,32000,1995.0,188.0,188.0,400.0,19.5,False,False,True,False,False,True,False,False,False,True
5,63249,18.9,1197.0,1197.0,8186.0,4.59,False,False,False,True,True,False,False,False,True,False
5,32000,1995.0,188.0,188.0,400.0,19.5,False,False,True,False,False,True,False,False,False,True
4,40000,1998.0,18740.0,18740.0,280.0,32.0,False,True,False,True,False,True,False,False,False,True
7,82000,19.01,1462.0,1462.0,10326.0,7.49,False,False,False,True,True,False,False,False,True,False
5,38000,20.73,1373.0,1373.0,911.0,6.75,False,False,False,True,True,False,False,False,True,False
7,40500,14.11,2199.0,2199.0,19726.0,25.25,False,True,True,False,True,False,False,False,False,False
5,40000,1493.0,9863.0,9863.0,240.0,11.55,False,True,True,False,True,False,False,False,True,False
5,65170,20.36,1197.0,1197.0,789.0,3.02,False,False,False,True,False,False,True,False,True,False
5,50000,17.5,1199.0,1199.0,887.0,7.25,False,False,False,True,True,False,False,False,True,False
